name,pretty_name,count,total,avg,min,max
model.proj_in,Model Proj In,11,0.019831441022688523,0.0018028582747898656,0.00046175101306289434,0.013561169005697593
block.norm1,LayerNorm (Pre-Attention),352,0.09712779577239417,0.00027593123798975614,0.00022069900296628475,0.0006733949994668365
attn.q_proj,Attn Q Proj,352,0.3735515183652751,0.0010612259044468044,0.00043471099343150854,0.013321814010851085
attn.k_proj,Attn K Proj,352,0.3754954438190907,0.0010667484199405987,0.00043871099478565156,0.01332005299627781
attn.v_proj,Attn V Proj,352,0.37433158469502814,0.0010634420019745119,0.00044075900223106146,0.013163544004783034
attn.matmul_qk,QKᵀ MatMul,352,0.19108669977867976,0.0005428599425530675,0.00034508100361563265,0.003480954997939989
attn.apply_causal_mask,Causal Mask,352,0.14582369072013535,0.00041427184863674813,0.00026357799652032554,0.0018458830018062145
attn.softmax,Softmax,352,0.07808877978823148,0.00022184312439838487,0.00014089301112107933,0.0010123320098500699
attn.weighted_sum,Attention Weighted Sum,352,0.12284381501376629,0.0003489881108345633,0.0002051799965556711,0.0021369809983298182
attn.out_projection,Output Projection,352,0.3687335577851627,0.0010475385164351212,0.0004401829792186618,0.008337784995092079
block.norm2,LayerNorm (Pre-FFN),352,0.10176933108596131,0.00028911741785784466,0.00023237901041284204,0.0003888240025844425
ff.linear1,FFN Linear 1,352,1.2113131709047593,0.003441230599161248,0.0011632090026978403,0.03846147100557573
ff.gelu,GELU Activation,352,0.08721063332632184,0.000247757481040687,0.00014284500502981246,0.012553956999909133
ff.linear2,FFN Linear 2,352,1.7601817997638136,0.005000516476601743,0.0011112409993074834,0.051510841003619134
model.proj_out,Model Proj Out,11,0.011326396896038204,0.0010296724450943823,0.00045391099411062896,0.005117400985909626
model.output_head,Output Head Projection,11,0.08644291094969958,0.00785844644997269,0.0025775480025913566,0.0464638709963765
attn.cache_concat,KV Cache Concat,320,0.1430260669440031,0.0004469564592000097,0.00028274700162000954,0.0011534169898368418
